{'start_time': 1584453712.605313, 'used_time': 0.020941495895385742, 'path': '/'}
{'start_time': 1584453712.8137562, 'used_time': 0.00199127197265625, 'path': '/favicon.ico'}
{'start_time': 1584453717.305464, 'used_time': 0.007977724075317383, 'path': '/index/show_aticle/'}
{'start_time': 1584453717.3882422, 'used_time': 0.0009987354278564453, 'path': '/favicon.ico'}
{'start_time': 1584453720.0586689, 'used_time': 0.0009968280792236328, 'path': '/favicon.ico'}
{'start_time': 1584453721.1827114, 'used_time': 0.0009975433349609375, 'path': '/favicon.ico'}
{'start_time': 1584453721.9646213, 'used_time': 0.001993417739868164, 'path': '/favicon.ico'}
{'start_time': 1584453722.9848912, 'used_time': 0.0009982585906982422, 'path': '/favicon.ico'}
{'start_time': 1584453724.3972986, 'used_time': 0.0009987354278564453, 'path': '/favicon.ico'}
{'start_time': 1584454741.179435, 'used_time': 0.003992319107055664, 'path': '/favicon.ico'}
{'start_time': 1584454749.6688907, 'used_time': 0.00698542594909668, 'path': '/index/show/3'}
{'start_time': 1584454749.6958194, 'used_time': 0.0009975433349609375, 'path': '/favicon.ico'}
{'start_time': 1584454758.0788097, 'used_time': 0.004988193511962891, 'path': '/index/show/1'}
{'start_time': 1584454758.1007578, 'used_time': 0.001991748809814453, 'path': '/favicon.ico'}
